# http://dcc.dickinson.edu/grammar/latin/classified-lists-verbs-3rd-conjugation
# From Allen and Greenough's Latin Grammar.
# -cendō, -cendī, -cēns-  kindle
# -cumbō, -cubuī, -cubit-  lie down
# -cutiō, -cussī, -cuss-  shake
# -dō, -didī, -dit- (as in ab-dō, etc., with crēdō, vēndō)  put
# -fendō, -fendī, -fēns-  ward off
# -flīgō, -flīxī, -flīct-, —  smite
# -liciō, -lexī, -lect-, (ēlicuī, -licit-)  entice
# -nuō, -nuī, —  nod
# -spiciō, -spexī, -spect-  view
# -stinguō, -stīnxī, -stīnct-  quench
metuō, metuī, metūt  fear
metō, messuī, mess-  reap
minuō, minuī, minūt-  lessen
mittō, mīsī, miss-  send
molō, moluī, molit-  grind
nectō, nexī, nex-  weave
nōscō, nōvī, nōt-  know
nūbō, nūpsi, nūpt-  marry
occulō, occuluī, occult-  hide
pandō, pandī, pāns-  open
pangō, pepigī, pāct-  fasten; fix; bargain
#parcō, pepercī (parsī), (parsūrus)  spare
pariō, peperī, part-  bring forth
pectō, pexī, pex-  comb
pellō, pepulī, puls-  drive
pendō, pependī, pēns-  weigh
percellō, perculī, perculs-  upset
pergō, perrēxī, perrēct-  go on
petō, petīvī, petīt- seek
pingō, pīnxī, pict-  paint
plangō, plānxī, plānct-  beat
plaudō, plausī, plaus-  applaud
plectō, plexī, plex-  braid
poscō, poposcī, —  demand
prehendō, prehendī, prehēns-  seize
premō, pressī, press-  press
prōmō, prōmpsī, prōmpt  bring out
pungō, pupugī, pūnct-  prick
pāscō, pāvī, pāst-  feed
pīnsō, pīnsī, pīns-  bruise
pōnō, posuī, posit-  put
quaerō, quaesīvī, quaesīt- seek
#quatiō, (-cussī), quass-  shake
quiēscō, quiēvī, quiēt-  rest
rapiō, rapuī, rapt-  seize
regō, rēxī, rēct-  rule
rudō, rudīvī, — bray
rumpō, rūpī, rupt- burst
ruō, ruī, rut-  fall
rādō, rāsī, rās-  scrape
rēpō, rēpsī, —  creep
rōdō, rōsī, rōs-  gnaw
sapiō, sapīvī, — be wise
scabō, scābī, — scratch
scalpō, scalpsī, scalpt-  scrape
scandō, scendī, scēnsus  climb
scindō, scidī, sciss-  tear
scrībō, scrīpsī, scrīpt-  write
sculpō, sculpsī, sculpt-  carve
scīscō, scīvī, scīt-  decree
serpō, serpsī, —  crawl
serō, seruī, sert-  entwine
serō, sēvī, sat-  sow
sinō, sīvī, sit-  permit
sistō, stitī, stat-  stop
solvō, solvī, solūt-  loose; pay
spargō, sparsī, spars-  scatter
spernō, sprēvī, sprēt-  scorn
spuō, spuī, —  spit
statuō, statuī, statūt-  establish
sternuo, sternuī, —  sneeze
sternō, strāvī, strāt-  strew
stertō, stertuī, —  snore
strepō, strepuī, —  sound
stringō, strīnxī, strict-  bind
struō, strūxī, strūct-  build
strīdō, strīdī, —  whiz
surgō, surrēxī, surrēct-  rise
suēscō, suēvī, suēt-  be wont
suō, suī, sūt-  sew
sīdō, sīdī, sess-  settle
sūgō, sūxī, sūct-  suck
sūmō, sūmpsī, sūmpt-  take
tangō, tetigī, tāct-  touch
